Name,Team Name,BA_Pos,Position,Bats,Throws,List_Year,BA_Rank,Made_MLB,RookieYear,RookieYear2,WAR,Year2,WAR_Year2,Year3,WAR_Year3,Total_WAR,Group
Rafael Devers,Boston Red Sox,3B-DH,3B,L,R,2017,18,1,2017,2017,0.8,2018,1,2019,5.9,7.7,11 - 25
Kyle Schwarber,Chicago Cubs,LF-OF,LF,L,R,2015,19,1,2015,2015,1.8,2016,-0.1,2017,1.7,3.4,11 - 25
Logan Morrison,Florida Marlins,1B-DH,1B,L,L,2010,20,1,2010,2010,1,2011,0.8,2012,-0.1,1.7,11 - 25
Alex Jackson,Seattle Mariners,C,C,R,R,2015,20,1,2019,2019,-0.3,2020,0,2021,,-0.3,11 - 25
Nomar Mazara,Texas Rangers,RF-OF,RF,L,L,2016,21,1,2016,2016,0.6,2017,-0.3,2018,0.9,1.2,11 - 25
Rusney Castillo,Boston Red Sox,CF-RF,RF,R,R,2015,21,1,2014,2015,0.1,2016,0,2017,,0.1,11 - 25
Ryan Westmoreland,Boston Red Sox,LF,LF,L,R,2010,21,0,,,,,,,,0,11 - 25
Desmond Jennings,Tampa Bay Rays,CF-LF,CF,R,R,2011,22,1,2010,2011,2.5,2012,3.2,2013,3.1,8.8,11 - 25
Mike Olt,Texas Rangers,3B-1B,3B,R,R,2013,22,1,2012,2012,-0.5,2013,,2014,-0.5,-1,11 - 25
Brandon Belt,San Francisco Giants,1B-LF,1B,L,L,2011,23,1,2011,2011,0.6,2012,1.8,2013,4.2,6.6,11 - 25
Manuel Margot,San Diego Padres,CF-OF,CF,R,R,2017,24,1,2016,2017,1.9,2018,0.6,2019,1.9,4.4,11 - 25
Nick Castellanos,Detroit Tigers,RF-OF,RF,R,R,2014,25,1,2013,2014,0.4,2015,0.5,2016,2.4,3.3,11 - 25
Lonnie Chisenhall,Cleveland Indians,RF-OF,RF,L,R,2011,25,1,2011,2011,0.7,2012,0.2,2013,0.6,1.5,11 - 25
